"member_casual","date","rides_per_month"
"casual","2022-02","21412"
"casual","2022-03","89875"
"casual","2022-04","126398"
"casual","2022-05","280387"
"casual","2022-06","369028"
"casual","2022-07","406017"
"casual","2022-08","358892"
"casual","2022-09","296666"
"casual","2022-10","208961"
"casual","2022-11","100767"
"casual","2022-12","44891"
"casual","2023-01","40005"
"member","2022-02","94190"
"member","2022-03","194148"
"member","2022-04","244819"
"member","2022-05","354422"
"member","2022-06","400121"
"member","2022-07","417408"
"member","2022-08","426974"
"member","2022-09","404606"
"member","2022-10","349662"
"member","2022-11","236951"
"member","2022-12","136901"
"member","2023-01","150288"
