"weekday","ride_hour","ride_hour_count","member_casual"
"Saturday","15","40136","casual"
"Saturday","16","38382","casual"
"Saturday","14","38224","casual"
"Saturday","13","36615","casual"
"Saturday","17","35653","casual"
"Saturday","12","34974","casual"
"Saturday","16","33143","member"
"Saturday","12","32989","member"
"Saturday","14","32940","member"
"Saturday","15","32872","member"
"Saturday","13","32788","member"
"Saturday","18","32583","casual"
"Saturday","17","32104","member"
"Saturday","11","31597","member"
"Saturday","11","30663","casual"
"Saturday","18","30071","member"
"Saturday","10","27072","member"
"Saturday","19","25853","casual"
"Saturday","19","24481","member"
"Saturday","10","23523","casual"
"Saturday","9","22163","member"
"Saturday","20","19520","casual"
"Saturday","22","18683","casual"
"Saturday","21","18154","casual"
"Saturday","20","17903","member"
"Saturday","23","17606","casual"
"Saturday","9","15773","casual"
"Saturday","8","15571","member"
"Saturday","21","15566","member"
"Saturday","22","14275","member"
"Saturday","23","12571","member"
"Saturday","0","11821","casual"
"Saturday","7","9317","member"
"Saturday","8","9240","casual"
"Saturday","0","9104","member"
"Saturday","1","9054","casual"
"Saturday","1","6476","member"
"Saturday","2","5126","casual"
"Saturday","6","4969","member"
"Saturday","7","4658","casual"
"Saturday","2","3653","member"
"Saturday","3","2754","casual"
"Saturday","6","2580","casual"
"Saturday","3","2120","member"
"Saturday","5","2029","member"
"Saturday","5","1438","casual"
"Saturday","4","1344","casual"
"Saturday","4","1278","member"
"Sunday","15","34718","casual"
"Sunday","16","33485","casual"
"Sunday","14","33258","casual"
"Sunday","15","32054","member"
"Sunday","13","31767","casual"
"Sunday","16","31756","member"
"Sunday","13","31001","member"
"Sunday","12","30686","member"
"Sunday","14","30614","member"
"Sunday","12","30592","casual"
"Sunday","17","30405","member"
"Sunday","17","29702","casual"
"Sunday","11","28183","member"
"Sunday","18","27396","member"
"Sunday","11","26737","casual"
"Sunday","18","24760","casual"
"Sunday","10","23185","member"
"Sunday","19","21007","member"
"Sunday","10","20143","casual"
"Sunday","19","19012","casual"
"Sunday","9","16754","member"
"Sunday","20","15386","member"
"Sunday","0","14967","casual"
"Sunday","20","13887","casual"
"Sunday","9","12931","casual"
"Sunday","21","11884","member"
"Sunday","21","11580","casual"
"Sunday","8","10690","member"
"Sunday","0","10115","member"
"Sunday","22","10110","casual"
"Sunday","1","10050","casual"
"Sunday","22","9180","member"
"Sunday","8","7074","casual"
"Sunday","7","7047","member"
"Sunday","1","6927","member"
"Sunday","2","6835","casual"
"Sunday","23","6724","casual"
"Sunday","23","5605","member"
"Sunday","2","4432","member"
"Sunday","7","4182","casual"
"Sunday","6","4044","member"
"Sunday","3","3674","casual"
"Sunday","6","2652","casual"
"Sunday","3","2404","member"
"Sunday","4","2112","casual"
"Sunday","5","1914","casual"
"Sunday","5","1840","member"
"Sunday","4","1593","member"
